CITY,STATE_CODE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,LATITUDE,LONGITUDE,WINTER,SPRING,SUMMER,FALL
Cleveland,OH,31.0,40.0,44.0,52.0,57.0,64.0,66.0,61.0,59.0,48.0,30.0,22.0,47.0,41.4918,-81.6757,31.0,51.0,63.666666666666664,45.666666666666664
Columbus,OH,34.0,42.0,42.0,49.0,53.0,54.0,54.0,54.0,55.0,53.0,33.0,28.0,45.0,40.1444,-82.9789,34.666666666666664,48.0,54.0,47.0
Dayton,OH,43.0,47.0,49.0,53.0,61.0,68.0,66.0,65.0,62.0,55.0,37.0,33.0,53.0,39.765396,-84.099802,41.0,54.333333333333336,66.33333333333333,51.333333333333336
Toledo,OH,41.0,48.0,50.0,53.0,59.0,61.0,65.0,61.0,58.0,52.0,34.0,29.0,50.0,41.641999999999996,-83.5438,39.333333333333336,54.0,62.333333333333336,48.0
Oklahoma City,OK,60.0,61.0,65.0,67.0,66.0,73.0,79.0,76.0,68.0,67.0,58.0,59.0,66.0,35.3337,-97.4922,60.0,66.0,76.0,64.33333333333333
Tulsa,OK,51.0,56.0,58.0,60.0,60.0,66.0,74.0,71.0,60.0,62.0,50.0,51.0,59.0,36.055659999999996,-96.060229,52.666666666666664,59.333333333333336,70.33333333333333,57.333333333333336
Portland,OR,28.0,41.0,55.0,58.0,63.0,61.0,72.0,69.0,64.0,46.0,29.0,20.0,50.0,45.442919,-122.61509199999999,29.666666666666668,58.666666666666664,67.33333333333333,46.333333333333336
Philadelphia,PA,51.0,54.0,54.0,56.0,53.0,60.0,62.0,63.0,58.0,58.0,49.0,45.0,55.0,39.864998,-75.275196,50.0,54.333333333333336,61.666666666666664,55.0
Pittsburgh,PA,28.0,37.0,42.0,46.0,48.0,52.0,54.0,51.0,52.0,46.0,31.0,23.0,42.0,40.474536,-79.952524,29.333333333333332,45.333333333333336,52.333333333333336,43.0
Providence,RI,57.0,58.0,55.0,56.0,55.0,59.0,64.0,61.0,62.0,61.0,48.0,51.0,57.0,41.8255,-71.4114,55.333333333333336,55.333333333333336,61.333333333333336,57.0
Columbia,SC,55.0,60.0,65.0,69.0,67.0,68.0,67.0,66.0,65.0,66.0,64.0,57.0,64.0,34.072613,-81.17961700000001,57.333333333333336,67.0,67.0,65.0
Huron,SD,62.0,62.0,62.0,59.0,66.0,69.0,76.0,74.0,69.0,59.0,51.0,51.0,63.0,44.359021999999996,-98.21629300000001,58.333333333333336,62.333333333333336,73.0,59.666666666666664
Rapid City,SD,54.0,60.0,62.0,57.0,59.0,65.0,72.0,74.0,71.0,65.0,52.0,54.0,62.0,44.077040999999994,-103.200259,56.0,59.333333333333336,70.33333333333333,62.666666666666664
Sioux Falls,SD,53.0,59.0,46.0,54.0,55.0,58.0,71.0,61.0,59.0,57.0,49.0,55.0,56.0,43.488,-96.7343,55.666666666666664,51.666666666666664,63.333333333333336,55.0
Chattanooga,TN,44.0,49.0,54.0,60.0,61.0,63.0,58.0,59.0,57.0,60.0,51.0,46.0,55.0,35.0455,-85.3081,46.333333333333336,58.333333333333336,60.0,56.0
Knoxville,TN,42.0,48.0,56.0,67.0,65.0,67.0,65.0,67.0,61.0,62.0,51.0,41.0,57.0,35.9609,-83.9189,43.666666666666664,62.666666666666664,66.33333333333333,58.0
